@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
15,5,3,False,True,True,True,1,1,17,3,22,11,23,7,-1,4,13,9,1,3045,92,East,3144,3,91
16,5,3,False,True,True,True,1,1,16,3,22,12,22,7,-1,2,13,7,1,3144,91,East,3243,3,90
17,5,3,False,True,True,True,1,1,16,3,23,12,21,7,-1,3,13,5,1,3243,90,East,3342,3,89
17,4,3,False,True,True,True,1,1,16,3,23,11,21,6,-1,2,13,7,1,3342,89,South,3441,3,88
17,3,3,False,True,True,True,1,1,15,3,23,10,22,6,-1,2,13,8,1,3441,88,South,3640,2,88
16,3,2,False,False,True,True,1,1,3,1,22,10,22,6,-1,-1,13,9,1,3640,88,West,3639,2,88
15,3,2,False,False,True,True,1,1,3,1,22,11,22,6,-1,-1,15,11,1,3639,88,West,3638,2,88
14,3,2,False,False,True,True,1,1,3,1,23,11,23,6,-1,-1,17,13,2,3638,88,West,3637,2,88
15,3,2,False,False,True,True,1,1,3,1,22,11,23,7,-1,-1,15,12,1,3637,88,East,3636,2,88
16,3,2,False,False,True,True,1,1,3,1,23,11,23,7,-1,-1,15,12,1,3636,88,East,3635,2,88
17,3,2,False,False,True,True,1,1,3,1,22,11,23,8,-1,-1,13,10,1,3635,88,East,3734,2,87
18,3,2,False,False,True,True,1,1,3,1,22,10,22,8,-1,-1,11,8,1,3734,87,East,3833,2,86
